bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
64,602,1425,1277,8.553530864555055,1.909724276277733,2.0060107024489713,10.600000000000001,2.0,2.4000000000000004,0.7035175879396984,0.7035175879396984,0.4522613065326633,"[-0.9764409030818765, -0.05424214269143096, -0.20885629687632576]","[-0.01066090511859392, -0.9545823032624517, 0.29775656399180317]","[-0.21552147895442295, 0.2929682854071325, 0.9315149359269038]",0.1338480948638085,2.1737154384029096,-0.028603279410277807,-0.7763088132871139,46.18876002100548,0.03466633651108085,12.461585126519601,0.25125628140703515
65,84,1492,1239,7.932635767839627,1.9975570718497906,1.998136504903341,4.6000000000000005,2.6,0.4,5.7286432160804015,0.5527638190954773,0.3517587939698492,"[-0.8253961633868112, -0.5638966083643889, -0.027235795223777504]","[-0.5415289911184229, 0.8044481569755577, -0.24415059802689865]","[-0.15958547942903695, 0.1867719941901576, 0.9693547838338842]",0.6679157413002734,0.034383017133471784,-0.03224013076005474,-0.9350788521819502,343.1862332081444,0.10106578463800074,34.37132321059362,0.20100502512562812
66,497,1394,364,7.978915199001282,1.9917275783758719,2.013210370208287,4.6000000000000005,2.9000000000000004,0.4,4.874371859296482,0.5527638190954773,0.40201005025125625,"[-0.8324260512469509, -0.5539273025061765, -0.015212256362551958]","[-0.5120363137357158, 0.779389359484708, -0.3610693004645466]","[-0.2118624143668448, 0.29277426434071746, 0.9324149009525767]",0.8064944026582392,0.050403688521623725,-0.014901520428429377,-0.9166765301723356,389.7476617196139,0.10615060356390113,33.65123531358748,0.1507537688442211
67,96,1326,1419,7.8803116305655285,1.9223526654197756,1.9853305530322953,1.6,1.9000000000000001,0.9,2.1608040201005023,1.1557788944723617,0.6030150753768844,"[-0.7287852791539662, -0.683494041728032, -0.041326889681602426]","[-0.055035784821773605, -0.0016897368039108102, 0.9984829528733002]","[-0.6825269806223979, 0.7299541353481145, -0.03638517569917342]",0.30940580219319364,0.031077970056729243,-0.1208938528807031,-0.5271495258305161,398.47669205351843,0.04998721554589619,43.21534384447921,0.5527638190954773
68,465,1404,1665,8.011570349907577,1.996554608256253,1.995414775003094,4.6000000000000005,2.1,0.5,4.221105527638191,0.5527638190954773,0.5527638190954773,"[-0.8417254414937527, -0.5386813369883712, -0.036341413326507054]","[-0.2258776705525571, 0.29021292486310135, 0.9299224355762981]","[-0.4903851130365786, 0.7909480864271846, -0.36595568787665755]",0.9465084439361177,0.04776209473244021,0.0011577598364995749,-0.8906897487542218,491.24694583236715,0.07111984282907662,32.677226996096365,0.0
69,457,1521,1386,8.08149365074307,2.0002915807411523,2.07691553730571,5.800000000000001,2.6,0.5,2.3115577889447234,0.40201005025125625,0.4522613065326633,"[-0.8594060669051227, -0.48276091274543687, -0.1684135187324959]","[0.14341999107904968, -0.5437773150060972, 0.8268838720422867]","[-0.49076666382870093, 0.6864751509049347, 0.5365630893608823]",1.2190152449739962,0.523227681720785,0.02599964861661196,-0.9206179143742852,65.05310037830868,0.061726836657409745,30.75003861562908,0.05025125628140703
70,88,1397,335,7.722580961764689,1.9751920236839529,2.039005665061429,4.3,2.7,0.4,0.8040201005025125,0.6532663316582914,0.40201005025125625,"[-0.9648711759906257, -0.24401969016587133, 0.09735504380266574]","[-0.21220568648166385, 0.9423309878993953, 0.25880698574303385]","[0.15489467507733318, -0.22905610678587307, 0.9610103743335896]",1.0398148732559274,-0.6603000475753449,-0.028248432395189815,-0.9685947776460733,169.6360480811984,0.06977739726027397,15.231723890573265,0.25125628140703515
71,312,1424,581,8.01552345590461,2.0030463739933295,2.0020989603471047,4.3,1.1,0.4,3.9195979899497484,0.5527638190954773,0.3517587939698492,"[-0.8273856516734928, -0.5614296047477197, -0.01515857241461119]","[-0.530105382293607, 0.7895695571726439, -0.30914106496799104]","[-0.1855296932250423, 0.24774324067270603, 0.9508953778585778]",0.6873440758309068,0.028101765794370473,0.006614696424525284,-0.9486226801063076,323.05677252420617,0.0898876404494382,34.16888960860481,0.20100502512562812
72,379,1383,971,8.038004975761861,2.017306747697766,2.0069514596230213,5.5,3.2,0.4,4.723618090452261,0.6030150753768844,0.3517587939698492,"[-0.840464020188312, -0.541482304026103, -0.020424132673975415]","[-0.5344016190136504, 0.8345305324108963, -0.13406602876782775]","[-0.08963894446327664, 0.10176298394096833, 0.9907619061787447]",0.7834433971550802,0.03352691925655457,0.023405629422897374,-0.9338847325309128,309.6589527969104,0.11250205896886839,32.81084851067138,0.25125628140703515
73,583,1337,1212,8.564292743937205,1.8845717479790887,2.1025420552501806,6.9,2.4000000000000004,1.3,0.6030150753768844,0.5527638190954773,10.0,"[-0.9768531246610875, 0.17239012384848723, -0.12664761363473515]","[0.1671169640460976, 0.9846054619268209, 0.05122503950107854]","[-0.13352862302849253, -0.028874375203196134, 0.9906242361706783]",-0.8943832715078737,0.8093797054920436,0.192429569251047,-1.1538978644982025,50.358390356527515,0.04001759014951627,12.351653721096609,9.447236180904522
74,702,1437,1293,6.7583940510518055,2.195648876601433,1.6616837954046924,2.2,1.4000000000000001,2.1,0.6030150753768844,0.7537688442211055,1.0050251256281406,"[-0.9644260361843647, 0.10151331788524359, -0.24408495861409393]","[-0.1590810791632538, -0.9602970829905813, 0.2291783642755896]","[0.21112941761386306, -0.2598548800613715, -0.9422843574666414]",-1.345638636885702,3.636612662950227,-0.22671451805975565,-1.0668048859087784,20.15093465556537,0.10181159420289855,15.328501631014001,0.25125628140703515
75,664,1404,1140,8.008335761370114,1.996594793117934,1.9980035518223964,5.1000000000000005,3.5,0.5,4.0703517587939695,0.5025125628140703,0.5025125628140703,"[-0.8188348211170109, -0.5736830722994014, -0.019931590086913593]","[-0.009486097972833712, -0.021194051762040856, 0.9997303767092193]","[-0.5739508251335846, 0.8188031171942547, 0.011912413754127032]",1.014122904081595,0.028936552803712715,-0.004397422270348954,-0.8722587984736152,536.468965017603,0.07172314864622557,35.031675599520426,0.0
