bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
89,906,350,87,2.391402397069629,1.9916329818667482,1.9998753481465272,0.75,1.2000000000000002,0.30000000000000004,0.9547738693467336,0.6030150753768844,0.3517587939698492,"[-0.6587475849155544, -0.7523317043524093, 0.006973234122205785]","[-0.7518197679007318, 0.6578903033982215, -0.04412918862029122]","[-0.028612164574067848, 0.03431261168717405, 0.9990014958535305]",0.0437864294892866,-0.0005623864286529676,-0.008263128937166252,-0.5545036300840991,129.18256166835366,0.005570560432140445,48.79557369460831,0.25125628140703515
90,1505,281,1256,2.4801743438079673,2.040309895461551,1.9936571527815787,3.3899999999999997,2.7,0.30000000000000004,6.281407035175879,0.7537688442211055,0.3015075376884422,"[-0.7573311639146024, -0.6528064256271326, -0.01712538535859093]","[-0.6522279883498623, 0.7574398664343434, -0.029723727037772416]","[-0.03237528960249256, 0.011341049151246188, 0.999411437410691]",0.4153739048868718,0.004402625547411066,0.019987964189400485,-0.6836561068585141,33.98999814628457,0.023777504921163928,40.77051925352982,0.4522613065326633
91,1326,452,1077,2.371388451097176,1.9679773218988528,2.000229365942038,2.73,2.4000000000000004,0.4,1.1055276381909547,0.4522613065326633,0.4522613065326633,"[-0.7736177698536506, -0.6331874660099751, -0.024273010825412666]","[0.059023539591683216, -0.11014809919888097, 0.9921610847120252]","[-0.6308975891067684, 0.766120766675033, 0.12258549232485429]",0.2985056549193066,0.01037643814685547,0.0016177710277024589,-0.6643861723229931,57.32769731390761,0.004305303062331769,39.32011764743478,0.0
92,245,653,1170,2.378351301753929,1.990448798827005,1.9776631295027134,2.6999999999999997,2.3000000000000003,0.30000000000000004,3.6683417085427132,0.5025125628140703,0.3517587939698492,"[-0.7684390562146299, -0.6391604560184131, -0.03123024729812966]","[-0.5364305370302246, 0.6167846995523811, 0.5760372499583198]","[0.3489178926702291, -0.4594023790321645, 0.8168266390820967]",0.27581407480307435,-0.00549047308009642,0.005728121416367532,-0.6714296160142474,52.66202925406985,0.006694300021563601,39.78607635119986,0.1507537688442211
93,639,302,791,2.4125227913980423,2.007803860756484,1.9975304846242388,2.4899999999999998,2.3000000000000003,0.30000000000000004,2.7135678391959797,0.6532663316582914,0.3517587939698492,"[-0.7428239280775721, -0.669300545300577, -0.01579214791459178]","[-0.6688170007714748, 0.7429291569499288, -0.027204544339452928]","[-0.029940463497665812, 0.00964612948381613, 0.9995051379715496]",0.29336881296060185,0.008141006538482798,0.03005464698439827,-0.6626548040338878,88.13582560262911,0.010780223000600064,42.02747023287246,0.3015075376884422
94,635,302,791,2.4255376934133985,2.0061180212832217,1.9974737400735265,2.4899999999999998,2.3000000000000003,0.30000000000000004,3.065326633165829,0.6532663316582914,0.3517587939698492,"[-0.743576705302748, -0.6684528287948626, -0.016263425446575334]","[-0.667951002880502, 0.7436912919259521, -0.027653572363084324]","[-0.030580076553892156, 0.009699380890281092, 0.9994852579844805]",0.29960921773121374,0.007522743235776983,0.03046420340857053,-0.666651205007708,98.39473194367048,0.010749471223422019,41.96300607384244,0.3015075376884422
95,166,305,1025,2.3601157812583144,1.9629154861666986,1.9916442644213128,1.74,2.5,0.30000000000000004,3.6683417085427132,0.7035175879396984,0.3015075376884422,"[-0.713776158511141, -0.6998340924838564, -0.02749251786169222]","[-0.6991589639346812, 0.7142999160279241, -0.030860542968059387]","[-0.041235163281613856, 0.002805879505172984, 0.9991455291144233]",0.24558290890024045,0.018983488629968664,-0.012375327622813945,-0.6096051133314409,64.91729457070821,0.006536271354295618,44.457009508393554,0.40201005025125625
96,251,654,1170,2.3741957164759135,1.9915227083311287,1.9783109535321692,2.6399999999999997,2.2,0.30000000000000004,3.7185929648241203,0.40201005025125625,0.40201005025125625,"[-0.770787493571597, -0.6362836392240512, -0.032090032867130705]","[-0.5361898442931293, 0.6206839179447777, 0.5720593718152258]","[0.3440742516238688, -0.45814255910198826, 0.8195842268546633]",0.2873571684249513,-0.0064593212827681054,-0.000875343577223973,-0.662210349634524,49.3217735251289,0.006713209028835196,39.57534215511455,0.0
97,1540,289,1256,2.397319792200415,1.9934392972189547,1.9960007210465633,3.3,2.9000000000000004,0.30000000000000004,4.1206030150753765,0.7537688442211055,0.3517587939698492,"[-0.7407445635960687, -0.6714981447720253, -0.019690938794250525]","[-0.6708177913863733, 0.7409320458602071, -0.0319874065362689]","[-0.03606913171090526, 0.010485465422995138, 0.999294287361078]",0.3902425953002923,0.01221486882824276,0.01864362101356821,-0.7166314931674238,105.1279710822531,0.025465944389726495,42.20512035863589,0.40201005025125625
98,232,650,1170,2.389462448030319,1.9997218860435237,1.9768139916420187,2.85,2.7,0.30000000000000004,3.6683417085427132,0.5025125628140703,0.3517587939698492,"[-0.7618773732703242, -0.6470288542670103, -0.029942108219540825]","[-0.6427831192880451, 0.749563330178384, 0.15806541560449366]","[0.0798293784082138, -0.13967274536505042, 0.986974566311183]",0.24912743195711695,-0.008355752410377759,0.01334336536541699,-0.6969106248230594,68.88488016143938,0.006691894999041962,40.37001633345329,0.1507537688442211
99,672,310,791,2.3394318363504376,1.962788553256099,1.9988697668207784,2.67,2.4000000000000004,0.30000000000000004,3.165829145728643,0.7035175879396984,0.3517587939698492,"[-0.7157605079477047, -0.6982238741303312, -0.013050550060246883]","[-0.6975657937185046, 0.7157191928256506, -0.03388215540475391]","[-0.03299785896564386, 0.015147891451630507, 0.9993406239557426]",0.24002742504877086,0.008150709645048989,-0.029229290393592875,-0.6417229072378889,92.61989328567407,0.011304271478115809,44.29443973905177,0.3517587939698492
100,594,490,951,2.348624152004634,1.988321381726738,2.021519314385366,3.78,3.0,0.4,2.6130653266331656,0.5025125628140703,0.4522613065326633,"[-0.7691566977505345, -0.6388872447480651, -0.014868180914940517]","[-0.527803340343852, 0.6219613762008476, 0.5784355456195788]","[0.36030765774177687, -0.4527550496820262, 0.8155925801281306]",0.2552437275999355,-0.06366097696887744,0.020684273768385126,-0.6639692115462865,39.56193581421742,0.007339115666889064,39.72177867044434,0.05025125628140703
101,245,419,632,2.3218700202625286,1.9443955259054286,1.9995251064052972,2.6399999999999997,2.3000000000000003,0.5,2.4623115577889445,0.5025125628140703,0.6030150753768844,"[-0.764315721261021, -0.6447735561086853, -0.009409547077624213]","[0.0632691673751461, -0.08950502271066053, 0.9939747800468681]","[-0.6417308553380472, 0.7591152167178082, 0.10920438203009114]",0.32821769690710745,0.010408250114322157,-0.029122660856049913,-0.6561653752776029,60.85712266319521,0.01308431952662722,40.153846090301364,0.10050251256281406
102,912,403,1290,2.3315749557180205,1.954781478117705,2.002688692526116,2.85,2.4000000000000004,0.5,3.6683417085427132,0.5025125628140703,0.5025125628140703,"[-0.7668742686341538, -0.6413957825996481, -0.02270035616938473]","[0.08264085228463204, -0.13376008218624166, 0.9875620132159801]","[-0.6364545118392215, 0.7554599198348745, 0.15558265932482185]",0.31844823104013,-0.006059545355329829,-0.00677113818798167,-0.7033124128058095,69.15727204688552,0.007628921315255855,39.92597532413702,0.0
103,916,404,1290,2.3241972744779575,1.9509168776530679,2.0035565517599827,2.73,2.3000000000000003,0.5,3.6683417085427132,0.5025125628140703,0.4522613065326633,"[-0.7669309178666843, -0.6412966284067666, -0.02357120307235323]","[0.06703644194950854, -0.11659094540286326, 0.9909150654323593]","[-0.638218679349731, 0.7583832710735249, 0.13240744497536816]",0.31661432236611775,-0.008780692726421265,-0.006445996528251651,-0.6953523352869047,71.9795717321536,0.007659298438201687,39.920917757208635,0.05025125628140703
104,840,397,108,2.407856891311137,2.003247467883465,1.9973756058685337,2.16,1.9000000000000001,0.30000000000000004,2.7135678391959797,0.6030150753768844,0.3517587939698492,"[-0.740027825159007, -0.6724614134537683, -0.012428411249643005]","[-0.6718963794371938, 0.7383228766571056, 0.058605333408887725]","[0.03023364499395603, -0.051720181946089315, 0.9982038616885047]",0.14618194795113088,0.00012902577226525072,0.01994331897341629,-0.6186828802276301,136.22361950196648,0.021918886993043705,42.26621409924701,0.25125628140703515
